Dataset = yelp, batch_size = 32768
Layer_1 229571 | Layer_2 539548 | Layer_3 668498
Epoch 00032 | Loss 0.2307 | Accuracy 0.9214| f1_micro 0.3672 | f1_macro 0.0915 | Time : 1.6780 | Loop_Time : 0.2052 | Model_Time : 1.4727 | x_y_time : 0.0002 | pred_time : 0.6910 | backward_time : 0.6886 | optim_time : 0.0154 
Epoch 00033 | Loss 0.2299 | Accuracy 0.9209| f1_micro 0.3364 | f1_macro 0.0776 | Time : 1.6892 | Loop_Time : 0.2158 | Model_Time : 1.4733 | x_y_time : 0.0003 | pred_time : 0.6924 | backward_time : 0.6868 | optim_time : 0.0162 
Epoch 00034 | Loss 0.2294 | Accuracy 0.9208| f1_micro 0.3338 | f1_macro 0.0763 | Time : 1.6844 | Loop_Time : 0.2120 | Model_Time : 1.4723 | x_y_time : 0.0002 | pred_time : 0.6903 | backward_time : 0.6890 | optim_time : 0.0161 
Epoch 00035 | Loss 0.2294 | Accuracy 0.9213| f1_micro 0.3546 | f1_macro 0.0853 | Time : 1.6785 | Loop_Time : 0.2052 | Model_Time : 1.4732 | x_y_time : 0.0002 | pred_time : 0.6900 | backward_time : 0.6899 | optim_time : 0.0152 
Epoch 00036 | Loss 0.2295 | Accuracy 0.9216| f1_micro 0.3940 | f1_macro 0.1041 | Time : 1.6955 | Loop_Time : 0.2201 | Model_Time : 1.4753 | x_y_time : 0.0003 | pred_time : 0.6941 | backward_time : 0.6870 | optim_time : 0.0181 
Epoch 00037 | Loss 0.2298 | Accuracy 0.9198| f1_micro 0.2992 | f1_macro 0.0633 | Time : 1.6769 | Loop_Time : 0.2052 | Model_Time : 1.4716 | x_y_time : 0.0002 | pred_time : 0.6903 | backward_time : 0.6890 | optim_time : 0.0148 
Epoch 00038 | Loss 0.2291 | Accuracy 0.9216| f1_micro 0.3729 | f1_macro 0.0931 | Time : 1.6846 | Loop_Time : 0.2113 | Model_Time : 1.4731 | x_y_time : 0.0002 | pred_time : 0.6908 | backward_time : 0.6884 | optim_time : 0.0162 
Epoch 00039 | Loss 0.2288 | Accuracy 0.9207| f1_micro 0.3259 | f1_macro 0.0739 | Time : 1.6789 | Loop_Time : 0.2067 | Model_Time : 1.4721 | x_y_time : 0.0002 | pred_time : 0.6928 | backward_time : 0.6871 | optim_time : 0.0154 
Epoch 00040 | Loss 0.2281 | Accuracy 0.9215| f1_micro 0.3526 | f1_macro 0.0855 | Time : 1.6868 | Loop_Time : 0.2161 | Model_Time : 1.4706 | x_y_time : 0.0003 | pred_time : 0.6904 | backward_time : 0.6871 | optim_time : 0.0162 
Epoch 00041 | Loss 0.2277 | Accuracy 0.9210| f1_micro 0.3315 | f1_macro 0.0770 | Time : 1.6877 | Loop_Time : 0.2169 | Model_Time : 1.4707 | x_y_time : 0.0002 | pred_time : 0.6901 | backward_time : 0.6888 | optim_time : 0.0159 
Epoch 00042 | Loss 0.2293 | Accuracy 0.9201| f1_micro 0.3063 | f1_macro 0.0664 | Time : 1.6819 | Loop_Time : 0.2100 | Model_Time : 1.4718 | x_y_time : 0.0003 | pred_time : 0.6907 | backward_time : 0.6874 | optim_time : 0.0157 
Epoch 00043 | Loss 0.2284 | Accuracy 0.9211| f1_micro 0.3393 | f1_macro 0.0792 | Time : 1.6894 | Loop_Time : 0.2181 | Model_Time : 1.4712 | x_y_time : 0.0002 | pred_time : 0.6908 | backward_time : 0.6867 | optim_time : 0.0157 
Epoch 00044 | Loss 0.2275 | Accuracy 0.9216| f1_micro 0.3623 | f1_macro 0.0897 | Time : 1.6886 | Loop_Time : 0.2189 | Model_Time : 1.4696 | x_y_time : 0.0003 | pred_time : 0.6902 | backward_time : 0.6871 | optim_time : 0.0155 
Epoch 00045 | Loss 0.2275 | Accuracy 0.9209| f1_micro 0.3297 | f1_macro 0.0756 | Time : 1.6869 | Loop_Time : 0.2182 | Model_Time : 1.4686 | x_y_time : 0.0002 | pred_time : 0.6898 | backward_time : 0.6863 | optim_time : 0.0157 
Epoch 00046 | Loss 0.2273 | Accuracy 0.9209| f1_micro 0.3278 | f1_macro 0.0753 | Time : 1.6778 | Loop_Time : 0.2082 | Model_Time : 1.4694 | x_y_time : 0.0002 | pred_time : 0.6904 | backward_time : 0.6877 | optim_time : 0.0152 
Epoch 00047 | Loss 0.2269 | Accuracy 0.9216| f1_micro 0.3527 | f1_macro 0.0862 | Time : 1.6873 | Loop_Time : 0.2184 | Model_Time : 1.4688 | x_y_time : 0.0003 | pred_time : 0.6902 | backward_time : 0.6856 | optim_time : 0.0166 
Epoch 00048 | Loss 0.2267 | Accuracy 0.9222| f1_micro 0.3813 | f1_macro 0.1007 | Time : 1.6875 | Loop_Time : 0.2169 | Model_Time : 1.4705 | x_y_time : 0.0002 | pred_time : 0.6904 | backward_time : 0.6876 | optim_time : 0.0165 
Epoch 00049 | Loss 0.2271 | Accuracy 0.9218| f1_micro 0.3590 | f1_macro 0.0896 | Time : 1.6857 | Loop_Time : 0.2166 | Model_Time : 1.4690 | x_y_time : 0.0003 | pred_time : 0.6905 | backward_time : 0.6863 | optim_time : 0.0166 
Epoch 00050 | Loss 0.2267 | Accuracy 0.9220| f1_micro 0.3678 | f1_macro 0.0935 | Time : 1.6873 | Loop_Time : 0.2168 | Model_Time : 1.4704 | x_y_time : 0.0003 | pred_time : 0.6900 | backward_time : 0.6863 | optim_time : 0.0158 
Epoch 00051 | Loss 0.2268 | Accuracy 0.9221| f1_micro 0.3799 | f1_macro 0.0996 | Time : 1.6749 | Loop_Time : 0.2057 | Model_Time : 1.4690 | x_y_time : 0.0002 | pred_time : 0.6898 | backward_time : 0.6880 | optim_time : 0.0148 
Epoch 00052 | Loss 0.2263 | Accuracy 0.9217| f1_micro 0.3568 | f1_macro 0.0882 | Time : 1.6762 | Loop_Time : 0.2047 | Model_Time : 1.4714 | x_y_time : 0.0002 | pred_time : 0.6904 | backward_time : 0.6890 | optim_time : 0.0152 
Epoch 00053 | Loss 0.2258 | Accuracy 0.9215| f1_micro 0.3475 | f1_macro 0.0844 | Time : 1.6753 | Loop_Time : 0.2047 | Model_Time : 1.4705 | x_y_time : 0.0002 | pred_time : 0.6900 | backward_time : 0.6885 | optim_time : 0.0174 
Epoch 00054 | Loss 0.2264 | Accuracy 0.9216| f1_micro 0.3501 | f1_macro 0.0850 | Time : 1.6752 | Loop_Time : 0.2056 | Model_Time : 1.4695 | x_y_time : 0.0002 | pred_time : 0.6901 | backward_time : 0.6893 | optim_time : 0.0148 
Epoch 00055 | Loss 0.2257 | Accuracy 0.9222| f1_micro 0.3736 | f1_macro 0.0980 | Time : 1.6825 | Loop_Time : 0.2100 | Model_Time : 1.4724 | x_y_time : 0.0002 | pred_time : 0.6915 | backward_time : 0.6875 | optim_time : 0.0159 
Epoch 00056 | Loss 0.2259 | Accuracy 0.9220| f1_micro 0.3648 | f1_macro 0.0932 | Time : 1.6873 | Loop_Time : 0.2152 | Model_Time : 1.4720 | x_y_time : 0.0002 | pred_time : 0.6931 | backward_time : 0.6867 | optim_time : 0.0155 
Epoch 00057 | Loss 0.2251 | Accuracy 0.9212| f1_micro 0.3323 | f1_macro 0.0787 | Time : 1.6803 | Loop_Time : 0.2110 | Model_Time : 1.4692 | x_y_time : 0.0002 | pred_time : 0.6903 | backward_time : 0.6871 | optim_time : 0.0155 
Epoch 00058 | Loss 0.2257 | Accuracy 0.9209| f1_micro 0.3236 | f1_macro 0.0751 | Time : 1.6743 | Loop_Time : 0.2096 | Model_Time : 1.4646 | x_y_time : 0.0002 | pred_time : 0.6853 | backward_time : 0.6870 | optim_time : 0.0151 
Epoch 00059 | Loss 0.2255 | Accuracy 0.9208| f1_micro 0.3225 | f1_macro 0.0746 | Time : 1.6858 | Loop_Time : 0.2172 | Model_Time : 1.4685 | x_y_time : 0.0002 | pred_time : 0.6884 | backward_time : 0.6857 | optim_time : 0.0159 
Epoch 00060 | Loss 0.2248 | Accuracy 0.9215| f1_micro 0.3419 | f1_macro 0.0838 | Time : 1.6811 | Loop_Time : 0.2144 | Model_Time : 1.4666 | x_y_time : 0.0002 | pred_time : 0.6882 | backward_time : 0.6862 | optim_time : 0.0156 
Epoch 00061 | Loss 0.2247 | Accuracy 0.9206| f1_micro 0.3134 | f1_macro 0.0711 | Time : 1.6841 | Loop_Time : 0.2174 | Model_Time : 1.4666 | x_y_time : 0.0002 | pred_time : 0.6875 | backward_time : 0.6854 | optim_time : 0.0159 
Epoch 00062 | Loss 0.2257 | Accuracy 0.9207| f1_micro 0.3162 | f1_macro 0.0722 | Time : 1.6743 | Loop_Time : 0.2061 | Model_Time : 1.4680 | x_y_time : 0.0002 | pred_time : 0.6887 | backward_time : 0.6882 | optim_time : 0.0150 
Epoch 00063 | Loss 0.2248 | Accuracy 0.9218| f1_micro 0.3489 | f1_macro 0.0871 | Time : 1.6752 | Loop_Time : 0.2061 | Model_Time : 1.4690 | x_y_time : 0.0002 | pred_time : 0.6906 | backward_time : 0.6875 | optim_time : 0.0155 
Epoch 00064 | Loss 0.2245 | Accuracy 0.9210| f1_micro 0.3234 | f1_macro 0.0759 | Time : 1.6695 | Loop_Time : 0.2049 | Model_Time : 1.4645 | x_y_time : 0.0002 | pred_time : 0.6877 | backward_time : 0.6858 | optim_time : 0.0149 
Epoch 00065 | Loss 0.2247 | Accuracy 0.9223| f1_micro 0.3738 | f1_macro 0.0984 | Time : 1.6739 | Loop_Time : 0.2078 | Model_Time : 1.4661 | x_y_time : 0.0002 | pred_time : 0.6881 | backward_time : 0.6868 | optim_time : 0.0149 
Epoch 00066 | Loss 0.2242 | Accuracy 0.9213| f1_micro 0.3317 | f1_macro 0.0796 | Time : 1.6742 | Loop_Time : 0.2081 | Model_Time : 1.4660 | x_y_time : 0.0002 | pred_time : 0.6881 | backward_time : 0.6872 | optim_time : 0.0150 
Epoch 00067 | Loss 0.2249 | Accuracy 0.9225| f1_micro 0.3827 | f1_macro 0.1026 | Time : 1.6710 | Loop_Time : 0.2073 | Model_Time : 1.4636 | x_y_time : 0.0002 | pred_time : 0.6863 | backward_time : 0.6863 | optim_time : 0.0149 
Epoch 00068 | Loss 0.2239 | Accuracy 0.9223| f1_micro 0.3670 | f1_macro 0.0962 | Time : 1.6861 | Loop_Time : 0.2176 | Model_Time : 1.4684 | x_y_time : 0.0003 | pred_time : 0.6888 | backward_time : 0.6862 | optim_time : 0.0156 
Epoch 00069 | Loss 0.2240 | Accuracy 0.9227| f1_micro 0.3992 | f1_macro 0.1127 | Time : 1.6827 | Loop_Time : 0.2169 | Model_Time : 1.4657 | x_y_time : 0.0003 | pred_time : 0.6870 | backward_time : 0.6847 | optim_time : 0.0156 
Epoch 00070 | Loss 0.2245 | Accuracy 0.9225| f1_micro 0.3831 | f1_macro 0.1033 | Time : 1.6822 | Loop_Time : 0.2160 | Model_Time : 1.4661 | x_y_time : 0.0003 | pred_time : 0.6869 | backward_time : 0.6858 | optim_time : 0.0157 
